ID,Film Name,Date,Genres,Top Actors,Director,Writer,Creator (If writer isn't found)Book,Budget,Gross US,Gross World,Rating,Votes
tt9354842,To All the Boys: P.S. I Still Love You,2020,Comedy | Drama | Romance,Lana Condor | Noah Centineo | Jordan Fisher | Anna Cathcart,Michael Fimognari,Sofia Alvarez,NotFound,[],NotFound,NotFound,NotFound, 6, 41033 votes
tt0083390,Brideshead Revisited,19811981,Drama | Romance,Jeremy Irons | Diana Quick | Roger Milner | Phoebe Nicholls,Charles Sturridge,John Mortimer,NotFound,[],NotFound,NotFound,NotFound," 8,6", 7561 votes
tt2051178,Fate/Zero,20112012,Animation | Action | Adventure,Ayako Kawasumi | Kari Wahlgren | Sayaka Ôhara | Jôji Nakata,Ei Aoki,Akira Hiyama,NotFound,[],NotFound,NotFound,NotFound," 8,2", 13572 votes
tt0204313,Exorcist: The Beginning,2004,Horror | Mystery | Thriller,Stellan Skarsgård | Izabella Scorupco | James D'Arcy | Remy Sweeney,Renny Harlin,William Peter Blatty,NotFound,[],"$80 000 000
","$41 821 986
","$78 110 021
"," 5,1", 37591 votes
tt10098728,Our House,20222022,Drama | Mystery | Thriller,Tuppence Middleton | Martin Compston | Tommy Finnegan | Weruche Opia,Sheree Folkson,Simon Ashdown,NotFound,[],NotFound,NotFound,NotFound," 6,3", 2724 votes
tt0464041,The Lazarus Project,2008,Drama | Mystery | Thriller,Paul Walker | Piper Perabo | Brooklynn Proulx | Bob Gunton,John Glenn,John Glenn,NotFound,[],NotFound,NotFound,NotFound," 6,1", 18587 votes
tt1247637,Above Suspicion,20092012,Crime | Drama | Thriller,Kelly Reilly | Ciarán Hinds | Shaun Dingwall | Amanda Lawrence,NotFound,NotFound,Lynda La Plante,NotFound,NotFound,NotFound,NotFound," 7,1", 2859 votes
tt0758742,Death Note,2006,Crime | Drama | Fantasy,Tatsuya Fujiwara | Ken'ichi Matsuyama | Asaka Seto | Yû Kashii,Shûsuke Kaneko,Tsugumi Ôba,NotFound,[],NotFound,NotFound,NotFound," 7,5", 30934 votes
tt14252964,Gone for Good,20212021,Crime | Drama | Mystery,Finnegan Oldfield | Nicolas Duvauchelle | Guillaume Gouix | Garance Marillier,NotFound,NotFound,David Elkaïm,NotFound,NotFound,NotFound,NotFound," 6,3", 4421 votes
tt0063794,War and Peace,1965,Drama | Romance | War,Sergey Bondarchuk | Lyudmila Saveleva | Vyacheslav Tikhonov | Boris Zakhava,Sergey Bondarchuk,Sergey Bondarchuk,NotFound,[],"RUR8 000 000
","$148 503
","$148 503
"," 8,3", 7638 votes
tt0065225,The Wrecking Crew,1968,Action | Adventure | Comedy,Dean Martin | Elke Sommer | Sharon Tate | Nancy Kwan,Phil Karlson,Donald Hamilton,NotFound,['The Wrecking Crew'],NotFound,NotFound,NotFound," 5,4", 3424 votes
tt1881109,Zeroville,2019,Comedy | Drama | Mystery,James Franco | Megan Fox | Seth Rogen | Joey King,James Franco,Steve Erickson,NotFound,[],NotFound,NotFound,NotFound," 4,5", 3197 votes
tt0087892,A Passage to India,1984,Adventure | Drama | History,Judy Davis | Victor Banerjee | Peggy Ashcroft | James Fox,David Lean,E.M. Forster,NotFound,[],"$16 000 000
","$27 187 653
","$27 201 487
"," 7,3", 19458 votes
tt26736843,The Watchers,2024,Fantasy | Horror | Mystery,NotFound,Ishana Shyamalan,A.M. Shine,NotFound,[],NotFound,NotFound,NotFound,NotFound,NotFound
tt6821044,The Loudest Voice,20192019,Biography | Drama,Russell Crowe | Sienna Miller | Seth MacFarlane | Annabelle Wallis,NotFound,NotFound,Tom McCarthy,NotFound,NotFound,NotFound,NotFound," 7,9", 13827 votes
tt0103251,White Palace,1990,Drama | Romance,Susan Sarandon | James Spader | Jason Alexander | Kathy Bates,Luis Mandoki,Glenn Savan,NotFound,[],NotFound,NotFound,NotFound," 6,5", 8506 votes
tt0066473,Tora! Tora! Tora!,1970,Action | Drama | History,Martin Balsam | Sô Yamamura | Jason Robards | Joseph Cotten,Richard Fleischer,Larry Forrester,NotFound,[],NotFound,NotFound,NotFound," 7,5", 35294 votes
tt0086058,The Osterman Weekend,1983,Action | Drama | Thriller,Rutger Hauer | John Hurt | Craig T. Nelson | Dennis Hopper,Sam Peckinpah,Robert Ludlum,NotFound,[],"$6 500 000
","$6 486 797
","$6 486 797
"," 5,8", 8971 votes
tt0098309,She-Devil,1989,Comedy,Meryl Streep | Roseanne Barr | Ed Begley Jr. | Linda Hunt,Susan Seidelman,Fay Weldon,NotFound,['The Life and Loves of a She-Devil'],NotFound,NotFound,NotFound," 5,6", 17904 votes
tt0110712,Of Love and Shadows,1994,Drama | Romance | Thriller,Antonio Banderas | Jennifer Connelly | Stefania Sandrelli | Diego Wallraff,Betty Kaplan,Isabel Allende,NotFound,[],NotFound,NotFound,NotFound, 5, 2266 votes
tt7134096,The Rhythm Section,2020,Action | Drama | Mystery,Blake Lively | Richard Brake | Elly Curtis | David Duggan,Reed Morano,Mark Burnell,NotFound,[],"$50 000 000
","$5 437 971
","$5 989 583
"," 5,4", 18943 votes
tt1078188,Boy A,2007,Drama,Andrew Garfield | Peter Mullan | Siobhan Finneran | Alfie Owen,John Crowley,Jonathan Trigell,NotFound,[],NotFound,NotFound,NotFound," 7,6", 38149 votes
tt9307990,Lincoln Rhyme: Hunt for the Bone Collector,20202020,Crime | Drama | Mystery,Russell Hornsby | Arielle Kebbel | Roslyn Ruff | Ramses Jimenez,NotFound,NotFound,Mark Bianculli,NotFound,NotFound,NotFound,NotFound," 6,8", 5617 votes
tt0384814,Ask the Dust,2006,Drama | Romance,Colin Farrell | Salma Hayek | Donald Sutherland | Eileen Atkins,Robert Towne,Robert Towne,NotFound,[],NotFound,NotFound,NotFound," 5,7", 9842 votes
tt0081163,The Mirror Crack'd,1980,Crime | Mystery | Thriller,Angela Lansbury | Geraldine Chaplin | Tony Curtis | Edward Fox,Guy Hamilton,Jonathan Hales,NotFound,[],NotFound,NotFound,NotFound," 6,2", 8426 votes
tt0076054,Freaky Friday,1976,Comedy | Family | Fantasy,Barbara Harris | Jodie Foster | John Astin | Patsy Kelly,Gary Nelson,Mary Rodgers,NotFound,[],NotFound,NotFound,NotFound," 6,3", 13311 votes
tt0289635,Young Adam,2003,Crime | Drama,Ewan McGregor | Tilda Swinton | Peter Mullan | Emily Mortimer,David Mackenzie,Alexander Trocchi,NotFound,[],"$6 400 000
","$767 373
","$2 561 820
"," 6,4", 14260 votes
tt0070016,Charlotte's Web,1973,Animation | Adventure | Drama,Debbie Reynolds | Paul Lynde | Henry Gibson | Rex Allen,Charles Nichols,E.B. White,NotFound,[],NotFound,NotFound,NotFound," 6,9", 21540 votes
tt0054367,Tall Story,1960,Comedy | Sport,Anthony Perkins | Jane Fonda | Ray Walston | Marc Connelly,Joshua Logan,Julius J. Epstein,NotFound,[],NotFound,NotFound,NotFound," 5,9", 1127 votes
tt0114345,The Scarlet Letter,1995,Drama | Romance | Western,Demi Moore | Gary Oldman | Robert Duvall | Lisa Andoh,Roland Joffé,Nathaniel Hawthorne,NotFound,['The Scarlet Letter'],"$46 000 000
","$10 382 407
","$10 382 407
"," 5,3", 15748 votes
tt10457128,Summer of 85,2020,Drama | Romance,Félix Lefebvre | Benjamin Voisin | Philippine Velge | Valeria Bruni Tedeschi,François Ozon,Aidan Chambers,NotFound,['Dance on My Grave'],NotFound,NotFound,NotFound," 6,9", 10707 votes
tt2205401,Addicted,,Drama | Romance | Thriller,Boris Kodjoe | Brandon Gonzales | Cameron Mills | Daniel O'Callaghan,Bille Woodruff,Christina Welsh,NotFound,[],"$5 000 000
","$17 390 770
","$17 534 314
", 5, 11390 votes
tt0457495,Stormbreaker,2006,Action | Adventure | Family,Sarah Bolger | Robbie Coltrane | Stephen Fry | Damian Lewis,Geoffrey Sax,Anthony Horowitz,NotFound,[],NotFound,NotFound,NotFound," 5,1", 25024 votes
tt0298228,Whale Rider,2002,Drama | Family,Keisha Castle-Hughes | Rawiri Paratene | Vicky Haughton | Cliff Curtis,Niki Caro,Niki Caro,NotFound,[],"$3 500 000
","$20 779 666
","$41 062 976
"," 7,5", 42997 votes
tt5690810,Ophelia,,Drama | Romance | Thriller,Daisy Ridley | Mia Quiney | Calum O'Rourke | Nathaniel Parker,Claire McCarthy,Semi Chellas,NotFound,[],"$12 000 000
","$50 722
","$338 940
"," 6,5", 11922 votes
tt0381392,Ma mère,2004,Drama | Romance,Isabelle Huppert | Louis Garrel | Emma de Caunes | Joana Preiss,Christophe Honoré,Georges Bataille,NotFound,[],NotFound,NotFound,NotFound, 5, 7178 votes
tt0120603,Beloved,1998,Drama | History | Horror,Yada Beener | Emil Pinnock | Calen Johnson | Oprah Winfrey,Jonathan Demme,Toni Morrison,NotFound,[],"$80 000 000
","$22 852 487
","$22 852 487
", 6, 9238 votes
tt0380599,Oliver Twist,2005,Crime | Drama,Barney Clark | Jeremy Swift | Ian McNeice | Richard Durden,Roman Polanski,Charles Dickens,NotFound,[],"$60 000 000
","$2 080 321
","$42 580 321
"," 6,8", 33367 votes
tt0055207,Mysterious Island,1961,Adventure | Family | Fantasy,Michael Craig | Joan Greenwood | Michael Callan | Gary Merrill,Cy Endfield,John Prebble,NotFound,[],NotFound,NotFound,NotFound," 6,7", 7866 votes
tt0024184,The Invisible Man,1933,Horror | Sci-Fi,Claude Rains | Gloria Stuart | William Harrigan | Henry Travers,James Whale,H.G. Wells,NotFound,[],NotFound,NotFound,NotFound," 7,6", 36939 votes
tt2398149,An Officer and a Spy,2019,Drama | History | Thriller,Louis Garrel | Christophe Maratier | Pierre Poirot | Stéfan Godin,Roman Polanski,Robert Harris,NotFound,[],NotFound,NotFound,NotFound," 7,2", 19037 votes
tt0106881,Fearless,1993,Drama | Thriller,Jeff Bridges | Isabella Rossellini | Rosie Perez | Tom Hulce,Peter Weir,Rafael Yglesias,NotFound,[],NotFound,NotFound,NotFound," 7,1", 23293 votes
tt8750570,Sergio,2020,Biography | Drama | History,Wagner Moura | Ana de Armas | Brían F. O'Byrne | Bradley Whitford,Greg Barker,Craig Borten,NotFound,[],NotFound,NotFound,NotFound," 6,2", 10273 votes
tt0107151,The House of the Spirits,1993,Drama | Romance,Maria Conchita Alonso | António Assunção | Julie Balloo | Frank Baker,Bille August,Isabel Allende,NotFound,[],"$40 000 000
","$6 265 311
","$6 265 311
"," 6,9", 23621 votes
tt4924942,The Invisible Guardian,2017,Crime | Thriller,Marta Etura | Elvira Mínguez | Nene | Francesc Orella,Fernando González Molina,Luiso Berdejo,NotFound,[],NotFound,NotFound,NotFound," 6,4", 16529 votes
tt1034389,The Eagle,2011,Action | Adventure | Drama,Channing Tatum | István Göz | Bence Gerö | Denis O'Hare,Kevin Macdonald,Jeremy Brock,NotFound,[],"$25 000 000
","$19 490 041
","$37 989 684
"," 6,2", 71521 votes
tt0098900,Avonlea,19901996,Adventure | Drama | Mystery,Zachary Bennett | Lally Cadeau | Mag Ruffman | Cedric Smith,NotFound,NotFound,Fiona McHugh,NotFound,NotFound,NotFound,NotFound," 8,5", 4529 votes
tt7510346,The Turning,2020,Drama | Horror | Mystery,Mackenzie Davis | Finn Wolfhard | Brooklynn Prince | Barbara Marten,Floria Sigismondi,Henry James,NotFound,['The Turn of the Screw'],"$14 000 000
","$15 472 775
","$19 428 166
"," 3,9", 15022 votes
tt0236784,The Tailor of Panama,2001,Comedy | Drama | Thriller,Pierce Brosnan | Geoffrey Rush | Jamie Lee Curtis | Leonor Varela,John Boorman,John le Carré,NotFound,['The Tailor of Panama'],"$21 000 000
","$13 729 742
","$28 008 462
"," 6,1", 30130 votes
tt0108949,Sweet Valley High,19941998,Comedy | Drama,Brittany Daniel | Cynthia Daniel | Amy Danles | Michael Perl,NotFound,NotFound,Josh Goldstein,NotFound,NotFound,NotFound,NotFound," 5,8", 1849 votes
tt0073012,The Four Musketeers: Milady's Revenge,1974,Action | Adventure,Oliver Reed | Raquel Welch | Richard Chamberlain | Michael York,Richard Lester,George MacDonald Fraser,NotFound,[],NotFound,NotFound,NotFound," 6,9", 11050 votes
tt0066390,Soldier Blue,1970,Drama | War | Western,Candice Bergen | Peter Strauss | Donald Pleasence | John Anderson,Ralph Nelson,Theodore V. Olsen,NotFound,['Arrow in the Sun'],NotFound,NotFound,NotFound," 6,9", 5754 votes
tt8149662,Sthlm Requiem,2018,Crime | Drama | Mystery,Liv Mjönes | Jonas Karlsson | Alexej Manvelov | Magnus Roosmann,Karin Fahlén,Karin Fahlén,NotFound,[],NotFound,NotFound,NotFound," 6,5", 1678 votes
tt0103994,Like Water for Chocolate,1992,Drama | Romance,Marco Leonardi | Lumi Cavazos | Regina Torné | Mario Iván Martínez,Alfonso Arau,Laura Esquivel,NotFound,[],"$2 000 000
","$21 665 468
","$21 744 201
"," 7,1", 18231 votes
tt0060086,Alfie,1966,Comedy | Drama,Michael Caine | Shelley Winters | Millicent Martin | Julia Foster,Lewis Gilbert,Bill Naughton,NotFound,[],NotFound,NotFound,NotFound, 7, 15050 votes
tt0410377,Nim's Island,2008,Adventure | Comedy | Drama,Abigail Breslin | Jodie Foster | Gerard Butler | Michael Carman,Jennifer Flackett,Joseph Kwong,NotFound,[],"$37 000 000
","$48 006 762
","$100 104 565
", 6, 35850 votes
tt0420238,The Tale of Despereaux,2008,Animation | Adventure | Comedy,Matthew Broderick | Dustin Hoffman | Emma Watson | Tracey Ullman,Sam Fell,Kate DiCamillo,NotFound,['The Tale of Despereaux'],"$60 000 000
","$50 877 145
","$86 957 280
"," 6,1", 38751 votes
tt0369672,A Love Song for Bobby Long,2004,Drama,John Travolta | Scarlett Johansson | Gabriel Macht | Deborah Kara Unger,Shainee Gabel,Ronald Everett Capps,NotFound,['Off Magazine Street'],NotFound,NotFound,NotFound," 7,1", 26514 votes
tt11097384,Spaceman,2023,Adventure | Drama | Sci-Fi,Adam Sandler | Paul Dano | Carey Mulligan | Kunal Nayyar,Johan Renck,Colby Day,NotFound,[],NotFound,NotFound,NotFound,NotFound,NotFound
tt0000417,A Trip to the Moon,1902,Short | Action | Adventure,Victor André | Bleuette Bernon | Brunnet | Jehanne d'Alcy,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound," 8,2", 51596 votes
tt0260615,The Forsyte Saga,20022003,Drama | History | Romance,Damian Lewis | Rupert Graves | Gina McKee | Amanda Root,Andy Wilson,John Galsworthy,NotFound,[],NotFound,NotFound,NotFound," 8,1", 6169 votes
tt0067277,Johnny Got His Gun,1971,Drama | War,Timothy Bottoms | Kathy Fields | Marsha Hunt | Jason Robards,Dalton Trumbo,Dalton Trumbo,NotFound,[],NotFound,NotFound,NotFound," 7,8", 17370 votes
tt0324264,Tipping the Velvet,20022002,Drama | Romance,Rachael Stirling | Keeley Hawes | Jodhi May | Alexei Sayle,Geoffrey Sax,Andrew Davies,NotFound,[],NotFound,NotFound,NotFound," 7,7", 8265 votes
tt0094606,The Accidental Tourist,1988,Drama | Romance,William Hurt | Kathleen Turner | Geena Davis | Amy Wright,Lawrence Kasdan,Anne Tyler,NotFound,[],NotFound,NotFound,NotFound," 6,7", 16626 votes
tt1023464,The Lost Girls,2022,Drama | Fantasy,Siobhan Hewlett | Tilly Marsan | Vanessa Redgrave | Amelia Minto,Livia De Paolis,Livia De Paolis,NotFound,[],NotFound,NotFound,NotFound," 2,8", 563 votes
tt0056956,The Courtship of Eddie's Father,1963,Comedy | Drama | Family,Glenn Ford | Shirley Jones | Stella Stevens | Dina Merrill,Vincente Minnelli,John Gay,NotFound,[],NotFound,NotFound,NotFound," 6,8", 3024 votes
tt1179031,Cold in July,2014,Crime | Thriller,Vinessa Shaw | Michael C. Hall | Ken Holmes | Nick Damici,Jim Mickle,Nick Damici,NotFound,[],NotFound,NotFound,NotFound," 6,7", 36473 votes
tt0096633,Legend of the Galactic Heroes,19881997,Animation | Action | Drama,Yûsaku Yara | Ryô Horikawa | Katsuji Mori | Nozomu Sasaki,Noboru Ishiguro,Yoshiki Tanaka,NotFound,[],NotFound,NotFound,NotFound," 9,1", 3897 votes
tt0059037,The Cincinnati Kid,1965,Drama,Steve McQueen | Ann-Margret | Karl Malden | Tuesday Weld,Norman Jewison,Richard Jessup,NotFound,['The Cincinnati Kid'],NotFound,NotFound,NotFound," 7,2", 17211 votes
tt0067647,The Canterbury Tales,1972,Comedy | Drama | History,Hugh Griffith | Laura Betti | Ninetto Davoli | Franco Citti,Pier Paolo Pasolini,Pier Paolo Pasolini,NotFound,[],NotFound,NotFound,NotFound," 6,4", 7755 votes
tt0363378,The Story of Tracy Beaker,20022006,Comedy | Drama | Family,Dani Harmer | Montanna Thompson | Ciarán Joyce | Ben Hanson,Delyth Thomas,Abigail Abban-Mensah,NotFound,[],NotFound,NotFound,NotFound," 6,7", 1700 votes
tt0954947,The Killer Inside Me,2010,Crime | Drama | Thriller,Casey Affleck | Kate Hudson | Jessica Alba | Ned Beatty,Michael Winterbottom,John Curran,NotFound,[],"$13 000 000
","$217 277
","$4 052 191
"," 6,1", 34802 votes
tt0052365,The Vikings,1958,Action | Adventure | History,Kirk Douglas | Tony Curtis | Ernest Borgnine | Janet Leigh,Richard Fleischer,Calder Willingham,NotFound,[],NotFound,NotFound,NotFound, 7, 14787 votes
tt0139462,Message in a Bottle,1999,Drama | Romance,Kevin Costner | Robin Wright | Paul Newman | John Savage,Luis Mandoki,Nicholas Sparks,NotFound,[],"$80 000 000
","$52 880 016
","$118 880 016
"," 6,2", 39204 votes
tt1178522,Little Dorrit,20082008,Drama | Mystery | Romance,Claire Foy | Matthew Macfadyen | Tom Courtenay | Judy Parfitt,Adam Smith,Andrew Davies,NotFound,[],NotFound,NotFound,NotFound," 8,2", 9927 votes
tt1461312,Alice,20092009,Adventure | Drama | Fantasy,Caterina Scorsone | Andrew Lee Potts | Matt Frewer | Kathy Bates,Nick Willing,Nick Willing,NotFound,[],NotFound,NotFound,NotFound," 7,2", 9592 votes
tt0102820,Rush,1991,Action | Crime | Drama,Jason Patric | Jennifer Jason Leigh | Sam Elliott | Max Perlich,Lili Fini Zanuck,Kim Wozencraft,NotFound,[],"$17 000 000
","$7 241 350
","$7 241 350
"," 6,7", 9278 votes
tt0064177,Colossus: The Forbin Project,1970,Sci-Fi | Thriller,Eric Braeden | Susan Clark | Gordon Pinsent | William Schallert,Joseph Sargent,James Bridges,NotFound,[],NotFound,NotFound,NotFound," 7,1", 9302 votes
tt2101473,The Physician,2013,Adventure | Drama | History,Tom Payne | Stellan Skarsgård | Olivier Martinez | Emma Catherine Rigby,Philipp Stölzl,Noah Gordon,NotFound,[],NotFound,NotFound,NotFound," 7,2", 40277 votes
tt0082970,Ragtime,1981,Drama,James Cagney | Brad Dourif | Moses Gunn | Elizabeth McGovern,Milos Forman,E.L. Doctorow,NotFound,[],NotFound,NotFound,NotFound," 7,3", 10000 votes
tt0844760,Starship Troopers 3: Marauder,2008,Action | Adventure | Sci-Fi,Casper Van Dien | Jolene Blalock | Stephen Hogan | Boris Kodjoe,Edward Neumeier,Edward Neumeier,NotFound,[],NotFound,NotFound,NotFound," 4,3", 23943 votes
tt0077889,Magic,1978,Drama | Horror,Anthony Hopkins | Ann-Margret | Burgess Meredith | Ed Lauter,Richard Attenborough,William Goldman,NotFound,[],NotFound,NotFound,NotFound," 6,8", 11955 votes
tt0167872,David Copperfield,19992000,Drama,Daniel Radcliffe | Trevor Eve | Pauline Quirke | Laura Harling,Simon Curtis,Charles Dickens,NotFound,[],NotFound,NotFound,NotFound," 7,7", 4721 votes
tt0090917,Deadly Friend,1986,Drama | Horror | Sci-Fi,Matthew Labyorteaux | Kristy Swanson | Michael Sharrett | Anne Twomey,Wes Craven,Diana Henstell,NotFound,['Friend'],NotFound,NotFound,NotFound," 5,5", 8195 votes
tt0057251,Lilies of the Field,1963,Drama,Sidney Poitier | Lilia Skala | Lisa Mann | Isa Crino,Ralph Nelson,James Poe,NotFound,[],NotFound,NotFound,NotFound," 7,5", 12361 votes
tt0076683,The Sentinel,1977,Horror,Chris Sarandon | Cristina Raines | Martin Balsam | John Carradine,Michael Winner,Jeffrey Konvitz,NotFound,[],NotFound,NotFound,NotFound," 6,3", 10766 votes
tt0073349,Mandingo,1975,Drama | History | Romance,James Mason | Susan George | Perry King | Richard Ward,Richard Fleischer,Kyle Onstott,NotFound,[],NotFound,NotFound,NotFound," 6,4", 3942 votes
tt0075163,Madam Kitty,1976,Drama | War,Helmut Berger | Ingrid Thulin | Teresa Ann Savoy | John Steiner,Tinto Brass,Ennio De Concini,NotFound,[],NotFound,NotFound,NotFound," 5,4", 4721 votes
tt0411195,Breakfast on Pluto,2005,Comedy | Drama,Cillian Murphy | Morgan Jones | Eva Birthistle | Liam Neeson,Neil Jordan,Neil Jordan,NotFound,[],NotFound,NotFound,NotFound," 7,2", 22939 votes
tt11016042,Ripley,2023,Crime | Drama | Thriller,Andrew Scott | Johnny Flynn | Dakota Fanning | Pasquale Esposito,Steven Zaillian,Patricia Highsmith,NotFound,[],NotFound,NotFound,NotFound,NotFound,NotFound
tt1226681,Pontypool,2008,Horror | Sci-Fi,Stephen McHattie | Lisa Houle | Georgina Reilly | Hrant Alianak,Bruce McDonald,Tony Burgess,NotFound,[],"$950 000
","$3 865
","$32 118
"," 6,5", 33258 votes
tt0110687,North,1994,Adventure | Comedy | Drama,Elijah Wood | Jason Alexander | Julia Louis-Dreyfus | Marc Shaiman,Rob Reiner,Alan Zweibel,NotFound,[],"$40 000 000
","$7 182 747
","$7 182 747
"," 4,5", 14289 votes
tt4030600,The Bye Bye Man,2017,Drama | Fantasy | Horror,Douglas Smith | Lucien Laviscount | Cressida Bonas | Doug Jones,Stacy Title,Jonathan Penner,NotFound,[],"$7 400 000
","$22 395 806
","$29 874 280
"," 4,3", 24797 votes
tt8080292,The Watch,20202021,Comedy | Crime | Drama,Richard Dormer | Lara Rossi | Adam Hugill | Marama Corlett,NotFound,NotFound,Simon Allen,NotFound,NotFound,NotFound,NotFound," 5,5", 6137 votes
tt0088693,Alice in Wonderland,,Adventure | Family | Fantasy,Natalie Gregory | Sheila Allen | Red Buttons | Anthony Newley,Harry Harris,Paul Zindel,NotFound,[],NotFound,NotFound,NotFound," 7,2", 3148 votes
tt0867015,Rebus,20002004,Crime | Drama | Mystery,Ken Stott | Claire Price | Jennifer Black | Gregor Gillespie,Roger Gartland,Colin Bateman,NotFound,[],NotFound,NotFound,NotFound," 7,5", 2002 votes
tt0243585,Stuart Little 2,2002,Animation | Adventure | Comedy,Michael J. Fox | Geena Davis | Hugh Laurie | Jonathan Lipnicki,Rob Minkoff,E.B. White,NotFound,['Stuart Little'],"$120 000 000
","$64 956 806
","$169 956 806
"," 5,5", 55728 votes
tt2776878,Thank You for Your Service,,Biography | Drama | War,Miles Teller | Beulah Koale | Joe Cole | Scott Haze,Jason Hall,David Finkel,NotFound,[],"$20 000 000
","$9 536 300
","$9 995 692
"," 6,6", 14317 votes
tt0092571,Anne of Avonlea,19871987,Drama | Family | Romance,Megan Follows | Colleen Dewhurst | Marilyn Lightstone | Schuyler Grant,Kevin Sullivan,Lucy Maud Montgomery,NotFound,"['Anne of Avonlea', 'Anne of the Island', 'Anne of Windy Poplars']",NotFound,NotFound,NotFound," 8,4", 9682 votes
tt0105159,The Power of One,1992,Drama | Sport,Nomadlozi Kubheka | Agatha Hurle | Nigel Ivy | Tracy Brooks Swope,John G. Avildsen,Bryce Courtenay,NotFound,[],"$18 000 000
","$2 827 107
","$2 827 107
"," 7,1", 10243 votes
tt13308276,Heirs to the Land,20222022,Drama,Yon González | Elena Rivera | Jesús Carroza | Rodolfo Sancho,Jordi Frades,Sergio Barrejón,NotFound,[],NotFound,NotFound,NotFound," 7,1", 1293 votes
tt0102900,Shattered,1991,Crime | Drama | Mystery,Tom Berenger | Bob Hoskins | Greta Scacchi | Joanne Whalley,Wolfgang Petersen,Richard Neely,NotFound,['The Plastic Nightmare'],"$22 000 000
","$11 511 031
","$11 511 031
"," 6,5", 10561 votes
tt0059094,Dear Brigitte,1965,Comedy | Family,James Stewart | Fabian | Glynis Johns | Cindy Carol,Henry Koster,John Haase,NotFound,['Erasmus With Freckles'],NotFound,NotFound,NotFound," 6,3", 1621 votes
tt0278731,Spider,2002,Drama | Mystery | Thriller,Ralph Fiennes | Miranda Richardson | Gabriel Byrne | Lynn Redgrave,David Cronenberg,Patrick McGrath,NotFound,[],"$10 000 000
","$1 642 483
","$5 808 941
"," 6,8", 39718 votes
tt0071970,The Parallax View,1974,Drama | Thriller,Warren Beatty | Paula Prentiss | William Daniels | Walter McGinn,Alan J. Pakula,David Giler,NotFound,[],NotFound,NotFound,NotFound," 7,1", 19798 votes
tt0244970,Someone Like You,2001,Comedy | Romance,Ashley Judd | Greg Kinnear | Hugh Jackman | Marisa Tomei,Tony Goldwyn,Laura Zigman,NotFound,['Animal Husbandry'],"$23 000 000
","$27 343 067
","$38 689 940
", 6, 26793 votes
tt0106452,Body Snatchers,1993,Horror | Sci-Fi,Terry Kinney | Meg Tilly | Gabrielle Anwar | Reilly Murphy,Abel Ferrara,Jack Finney,NotFound,['The Body Snatchers'],"$13 000 000
","$428 868
","$428 868
", 6, 20083 votes
tt0077355,Coma,1978,Drama | Mystery | Thriller,Geneviève Bujold | Michael Douglas | Elizabeth Ashley | Rip Torn,Michael Crichton,Michael Crichton,NotFound,[],NotFound,NotFound,NotFound," 6,9", 19897 votes
tt0104299,Freejack,1992,Action | Crime | Sci-Fi,Emilio Estevez | Mick Jagger | Rene Russo | Anthony Hopkins,Geoff Murphy,Robert Sheckley,NotFound,['Immortality Inc.'],"$30 000 000
","$17 129 026
","$17 129 026
"," 5,4", 16677 votes
tt2548418,Jonathan Strange & Mr Norrell,20152015,Fantasy | War,Bertie Carvel | Eddie Marsan | Marc Warren | Charlotte Riley,Toby Haynes,Susanna Clarke,NotFound,[],NotFound,NotFound,NotFound," 8,1", 13312 votes
tt0208988,Get Carter,2000,Action | Crime | Drama,Sylvester Stallone | Miranda Richardson | Rachael Leigh Cook | Rhona Mitra,Stephen Kay,Ted Lewis,NotFound,"[""Jack's Return Home""]","$63 600 000
","$14 967 182
","$19 412 993
"," 5,1", 35268 votes
tt2524674,Wetlands,2013,Comedy | Drama,Carla Juri | Christoph Letkowski | Marlen Kruse | Meret Becker,David Wnendt,Claus Falkenberg,NotFound,[],NotFound,NotFound,NotFound," 5,8", 11947 votes
tt3360038,Speed Walking,2014,Drama | History,Villads Bøye | Anders W. Berthelsen | Sidse Babett Knudsen | Frederik Winther Rasmussen,Niels Arden Oplev,Bo Hr. Hansen,NotFound,[],NotFound,NotFound,NotFound," 6,7", 1704 votes
tt0115633,Bastard Out of Carolina,1996,Drama,Jennifer Jason Leigh | Ron Eldard | Glenne Headly | Lyle Lovett,Anjelica Huston,Dorothy Allison,NotFound,[],NotFound,NotFound,NotFound," 7,3", 4586 votes
tt6889090,The Miniaturist,20172017,Drama | Fantasy | Mystery,Anya Taylor-Joy | Romola Garai | Hayley Squires | Alex Hassell,Guillem Morales,John Brownlow,NotFound,[],NotFound,NotFound,NotFound, 7, 5705 votes
tt0161083,What's the Worst That Could Happen?,2001,Comedy | Crime,Martin Lawrence | Danny DeVito | John Leguizamo | Glenne Headly,Sam Weisman,Donald E. Westlake,NotFound,[],"$60 000 000
","$32 269 834
","$38 464 131
"," 5,4", 16142 votes
tt0060955,Seconds,1966,Sci-Fi | Thriller,Frank Campanella | John Randolph | Frances Reid | Barbara Werle,John Frankenheimer,Lewis John Carlino,NotFound,[],NotFound,NotFound,NotFound," 7,6", 20609 votes
