ID,Film Name,Date,Genres,Top Actors,Director,Writer,Creator (If writer isn't found)Book,Budget,Gross US,Gross World,Rating,Votes
tt0137523,Fight Club,1999,Drama,Edward Norton | Brad Pitt | Meat Loaf | Zach Grenier,David Fincher,Chuck Palahniuk,Daniel Abraham,[],"$63 000 000
","$37 030 102
","$101 209 702
"," 8,8", 2151845 votes
tt1649418,The Gray Man,2022,Action | Thriller,Ryan Gosling | Chris Evans | Ana de Armas | Billy Bob Thornton,Anthony Russo,Joe Russo,Daniel Abraham,[],NotFound,NotFound,NotFound," 6,5", 208498 votes
tt3447590,Roald Dahl's Matilda the Musical,2022,Comedy | Drama | Family,Alisha Weir | Emma Thompson | Lashana Lynch | Stephen Graham,Matthew Warchus,Dennis Kelly,Daniel Abraham,[],NotFound,NotFound,NotFound," 7,1", 20335 votes
tt0144084,American Psycho,2000,Crime | Drama | Horror,Christian Bale | Justin Theroux | Josh Lucas | Bill Sage,Mary Harron,Bret Easton Ellis,Daniel Abraham,[],"$7 000 000
","$15 070 285
","$34 266 564
"," 7,6", 638977 votes
tt0109830,Forrest Gump,1994,Drama | Romance,Tom Hanks | Rebecca Williams | Sally Field | Michael Conner Humphreys,Robert Zemeckis,Winston Groom,Daniel Abraham,[],"$55 000 000
","$330 455 270
","$678 226 465
"," 8,8", 2103700 votes
tt10168670,Bones and All,2022,Drama | Horror | Romance,Kendle Coffey | Taylor Russell | André Holland | Ellie Parker,Luca Guadagnino,David Kajganich,Daniel Abraham,[],"$16 000 000
","$7 834 907
","$14 534 907
"," 6,9", 35294 votes
tt2699128,The Leftovers,20142017,Drama | Fantasy | Mystery,Justin Theroux | Amy Brenneman | Christopher Eccleston | Chris Zylka,NotFound,NotFound,Damon Lindelof,NotFound,NotFound,NotFound,NotFound," 8,3", 101811 votes
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,Adventure | Family | Fantasy,Ralph Fiennes | Michael Gambon | Alan Rickman | Daniel Radcliffe,David Yates,Steve Kloves,Damon Lindelof,[],"$125 000 000
","$381 447 587
","$1 342 359 942
"," 8,1", 887724 votes
tt0117913,A Time to Kill,1996,Crime | Drama | Thriller,Matthew McConaughey | Sandra Bullock | Samuel L. Jackson | Kevin Spacey,Joel Schumacher,John Grisham,Damon Lindelof,['A Time To Kill'],"$40 000 000
","$108 766 007
","$152 266 007
"," 7,5", 165470 votes
tt1655389,Blonde,2022,Biography | Drama | Romance,Ana de Armas | Lily Fisher | Julianne Nicholson | Tygh Runyan,Andrew Dominik,Andrew Dominik,Damon Lindelof,[],NotFound,NotFound,NotFound," 5,5", 61310 votes
tt0304141,Harry Potter and the Prisoner of Azkaban,2004,Adventure | Family | Fantasy,Daniel Radcliffe | Richard Griffiths | Pam Ferris | Fiona Shaw,Alfonso Cuarón,J.K. Rowling,Damon Lindelof,[],"$130 000 000
","$250 105 651
","$797 660 766
"," 7,9", 646161 votes
tt10574236,Station Eleven,20212022,Adventure | Drama | Fantasy,Mackenzie Davis | Himesh Patel | Matilda Lawler | David Wilmot,NotFound,NotFound,Patrick Somerville,NotFound,NotFound,NotFound,NotFound," 7,6", 29025 votes
tt2322441,Fifty Shades of Grey,2015,Drama | Romance | Thriller,Dakota Johnson | Jamie Dornan | Jennifer Ehle | Eloise Mumford,Sam Taylor-Johnson,Kelly Marcel,Patrick Somerville,[],"$40 000 000
","$166 167 230
","$569 651 467
"," 4,2", 323659 votes
tt1454029,The Help,2011,Drama,Emma Stone | Viola Davis | Bryce Dallas Howard | Octavia Spencer,Tate Taylor,Tate Taylor,Patrick Somerville,[],"$25 000 000
","$169 708 112
","$216 639 112
"," 8,1", 465477 votes
tt3920596,Big Little Lies,20172019,Crime | Drama | Mystery,Reese Witherspoon | Nicole Kidman | Shailene Woodley | Adam Scott,NotFound,NotFound,David E. Kelley,NotFound,NotFound,NotFound,NotFound," 8,5", 205171 votes
tt15239678,Dune: Part Two,2023,Action | Adventure | Drama,Timothée Chalamet | Rebecca Ferguson | Zendaya | Javier Bardem,Denis Villeneuve,Frank Herbert,NotFound,[],NotFound,NotFound,NotFound,NotFound,NotFound
tt0093779,The Princess Bride,1987,Adventure | Comedy | Family,Cary Elwes | Mandy Patinkin | Chris Sarandon | Christopher Guest,Rob Reiner,William Goldman,NotFound,[],"$16 000 000
","$30 857 814
","$30 902 869
", 8, 432135 votes
tt1130884,Shutter Island,2010,Mystery | Thriller,Leonardo DiCaprio | Mark Ruffalo | Ben Kingsley | Max von Sydow,Martin Scorsese,Laeta Kalogridis,NotFound,[],"$80 000 000
","$128 012 934
","$294 805 697
"," 8,2", 1336277 votes
tt0107290,Jurassic Park,1993,Action | Adventure | Sci-Fi,Sam Neill | Laura Dern | Jeff Goldblum | Richard Attenborough,Steven Spielberg,Michael Crichton,NotFound,[],"$63 000 000
","$404 214 720
","$1 109 802 321
"," 8,2", 1000454 votes
tt0295297,Harry Potter and the Chamber of Secrets,2002,Adventure | Family | Fantasy,Daniel Radcliffe | Rupert Grint | Emma Watson | Richard Griffiths,Chris Columbus,J.K. Rowling,NotFound,[],"$100 000 000
","$262 641 637
","$925 668 380
"," 7,4", 647200 votes
tt0808491,The Swarm,20232023,Drama | Sci-Fi | Thriller,Krista Kosonen | Alexander Karim | Cécile de France | Leonie Benesch,Barbara Eder,Steven Lally,NotFound,[],NotFound,NotFound,NotFound," 5,5", 390 votes
tt0099685,Goodfellas,1990,Biography | Crime | Drama,Robert De Niro | Ray Liotta | Joe Pesci | Lorraine Bracco,Martin Scorsese,Nicholas Pileggi,NotFound,['Wiseguy'],"$25 000 000
","$46 909 721
","$47 036 784
"," 8,7", 1174383 votes
tt1631867,Edge of Tomorrow,2014,Action | Adventure | Sci-Fi,Tom Cruise | Emily Blunt | Brendan Gleeson | Bill Paxton,Doug Liman,Christopher McQuarrie,NotFound,[],"$178 000 000
","$100 206 256
","$370 541 256
"," 7,9", 689824 votes
tt0120689,The Green Mile,1999,Crime | Drama | Fantasy,Tom Hanks | David Morse | Bonnie Hunt | Michael Clarke Duncan,Frank Darabont,Stephen King,NotFound,[],"$60 000 000
","$136 801 374
","$286 801 374
"," 8,6", 1316181 votes
tt4123432,Fantastic Beasts: The Secrets of Dumbledore,2022,Adventure | Family | Fantasy,Jude Law | Cara Mahoney | Mads Mikkelsen | Eddie Redmayne,David Yates,J.K. Rowling,NotFound,[],"$200 000 000
","$95 850 844
","$406 950 844
"," 6,2", 147443 votes
